Key,Id,English(en),Portuguese(pt),Russian(ru),Spanish(es)
"v0.1/Title",3562601295872,"v0.1","v0.1","v0.1","v0.1"
"v0.1/Desc",3731786936320,"- First Alpha release.",,,"- Primer lanzamiento de la Alpha"
"v0.1.1/Title",3849206476800,"v0.1.1","v0.1.1","v0.1.1","v0.1.1"
"v0.1.1/Desc",3895574507520,"- A new Easter Egg has been added.
- Added a warning message when opening the game.
- Added a static effect when you lose.
- Added a button to report bugs in the main menu.
- Added flashing lights effect on some jumpscares and animation when Foxy searches the room.
- Added a new poster.
- Added burnt effect to posters.
- New audios have been added to Freddy.
- New tips have been added, which will give clues on how to deal with the animatronics.
- The volume of the flash has been reduced a little.
- Removed some junk files.
- Updated loading screen images.
- The time required to exit the game by holding the ESC key has been reduced.
- The time it takes for Foxy to make his sound when you look at the hallway he's in has been reduced from 3 to 2 seconds.
- You can now skip the cutscene by clicking the right mouse button.
- Now, if it is the first time you start the game, it will default the graphic options to ""Ultra"".
- Now when you press the ""Exit"" button a confirmation window will appear.
- Now Freddy makes a very weak sound when he appears in one of the two halls.
- Updated some texts.
- Updated languages file.
- The ""Apply"" button has been removed from the settings menu.
- Removed the word ""[Alpha]"" in the version text.
- Office lighting has been increased.
- Increased lighting during power outage and Springtrap's jumpscare.
- Now you need to click on the arrows to move.
- Now to change the monitor it is not necessary to press the button, when detecting the change it will ask you if you want to apply and restart.
- Updated the language file.
- Increased cooldown time for Springtrap's jumpscare.
- Springtrap's jumpscare has been shortened, now he will appear suddenly without going under the door.
- The speed of the command part in the initial cinematic has been increased.
- Part of the initial cinematic has been improved.
- The office has been reorganized a bit.
- Some tips have been updated as they were not very consistent.
- Up to 3 tips will now appear on the loading screen before starting the game.
- Now you can keep moving when Springtrap manages to open the door.
- Fixed bug that caused the power cut animation to still not work when trying to deactivate an object that was no longer on the scene.
- Fixed flash sound which was still playing even at 0% volume.
- Fixed ""Exit"" button sound.
- Fixed bug, which allowed the fan to keep running when the power goes out.
- Fixed bug that the effect of the lights in the office was not reactivated.
- Fixed bug that caused sounds to be heard after a jumpscare.",,,"- Se ha añadido un nuevo Huevo de Pascua.
- Se ha añadido un mensaje de advertencia al abrir el juego.
- Se ha añadido un efecto estático cuando pierdes.
- Se ha añadido un botón para informar errores en el menú principal.
- Se ha añadido un efecto de luces intermitentes en algunos sustos y en la animación cuando Foxy busca en la habitación.
- Se ha añadido un nuevo póster.
- Se ha añadido un efecto de quemado a los pósters.
- Se han añadido nuevos audios a Freddy.
- Se han añadido nuevos consejos que darán pistas sobre cómo lidiar con los animatrónicos.
- Se ha reducido un poco el volumen del destello.
- Se han eliminado algunos archivos innecesarios.
- Se han actualizado las imágenes de pantalla de carga.
- Se ha reducido el tiempo necesario para salir del juego al mantener presionada la tecla ESC.
- Se ha reducido el tiempo que tarda Foxy en hacer su sonido cuando miras al pasillo en el que se encuentra, de 3 a 2 segundos.
- Ahora puedes saltarte la escena haciendo clic con el botón derecho del ratón.
- Ahora, si es la primera vez que inicias el juego, las opciones gráficas se establecerán automáticamente en ""Ultra"".
- Ahora, al presionar el botón ""Salir"", aparecerá una ventana de confirmación.
- Ahora Freddy emite un sonido muy débil cuando aparece en uno de los dos pasillos.
- Se han actualizado algunos textos.
- Se ha actualizado el archivo de idiomas.
- Se ha eliminado el botón ""Aplicar"" del menú de configuración.
- Se ha eliminado la palabra ""[Alpha]"" del texto de versión.
- Se ha aumentado la iluminación de la oficina.
- Se ha aumentado la iluminación durante los cortes de energía y el susto repentino de Springtrap.
- Ahora necesitas hacer clic en las flechas para moverte.
- Ahora no es necesario presionar el botón para cambiar el monitor; al detectar el cambio, te preguntará si deseas aplicar y reiniciar.
- Se ha actualizado el archivo de idiomas.
- Se ha aumentado el tiempo de reutilización para el susto repentino de Springtrap.
- Se ha acortado el susto repentino de Springtrap; ahora aparecerá repentinamente sin pasar por debajo de la puerta.
- Se ha aumentado la velocidad de la parte de comandos en la cinemática inicial.
- Se ha mejorado una parte de la cinemática inicial.
- La oficina se ha reorganizado un poco.
- Se han actualizado algunos consejos, ya que no eran muy coherentes.
- Ahora aparecerán hasta 3 consejos en la pantalla de carga antes de iniciar el juego.
- Ahora puedes seguir moviéndote cuando Springtrap logra abrir la puerta.
- Se ha corregido un error que causaba que la animación de corte de energía aún no funcionara al intentar desactivar un objeto que ya no estaba en la escena.
- Se ha corregido el sonido del destello, que seguía reproduciéndose incluso al 0% de volumen.
- Se ha corregido el sonido del botón ""Salir"".
- Se ha corregido un error que permitía que el ventilador siguiera funcionando cuando se cortaba la energía.
- Se ha corregido un error por el cual el efecto de las luces en la oficina no se volvía a activar.
- Se ha corregido un error que hacía que se escucharan sonidos después de un susto repentino."
"v0.2/Title",7217182257152,"v0.2","v0.2","v0.2","v0.2"
"v0.2/Desc",7339429441536,"- Added the full level 1 cinematic.
- Added the full level 2 cutscene.
- Added level 2 which will face Burned Mangle in the vents.
- Added progress saving system.
- Added new sounds.
- Removed junk files.
- Optimized scripts.
- Fixed minor bugs.",,,"- Se ha añadido la cinemática completa del nivel 1.
- Se ha añadido la escena completa del nivel 2.
- Se ha añadido el nivel 2 en el que te enfrentarás a Mangle Quemada en las ventilaciones.
- Se ha añadido un sistema de guardado de progreso.
- Se han añadido nuevos sonidos.
- Se han eliminado archivos innecesarios.
- Se han optimizado los scripts.
- Se han corregido pequeños errores."
"v0.2.1/Title",7951932043264,"v0.2.1","v0.2.1","v0.2.1","v0.2.1"
"v0.2.1/Desc",8008102162432,"- Added Easter Egg on level 2. Hint: It's a time trial.
- Added icon in level 1 of security doors.
- Added death screen which will show you who killed you along with an explanation of how to avoid it.
- Added trick to go directly to level 2 from the main menu (Press the P key).
- Added new animations to the door where Springtrap is, which will be shown depending on how much health he has left.
- Added tutorial screen after level 1 cinematic.
- Now, the color of the health of the door will vary depending on its percentage.
- Now the sound that Foxy makes when he appears can be heard every X seconds without having to look at him, and (if you use Stereo headphones) you will be able to know in which direction he is.
- It is no longer necessary to reload the level when changing the language.
- Changed the hiding animation of the Mangle clone.
- Head bobbing in level 1 cinematic has been reduced.
- Shortened the part of the commands on PC in the level 1 cinematic.
- The translation system of the game has been completely changed, now it is more optimized and more stable.
- Fixed bug that caused some sentences to not translate well.
- Fixed bug that caused Foxy to get stuck in one of the corridors after finishing the search animation.
- Fixed bug that caused Foxy to not start the search animation after getting stuck.
- Fixed spelling mistakes.
- Optimized models.
- Optimized animations.
- Optimized materials.
- Optimized codes.
- Removed junk files.",,,"- Se ha agregado un Easter Egg en el nivel 2. Pista: Es una prueba de tiempo.
- Se ha añadido un icono en el nivel 1 de las puertas de seguridad.
- Se ha añadido una pantalla de muerte que te mostrará quién te mató junto con una explicación de cómo evitarlo.
- Se ha agregado un truco para ir directamente al nivel 2 desde el menú principal (presionar la tecla P).
- Se han añadido nuevas animaciones a la puerta donde se encuentra Springtrap, que se mostrarán según la cantidad de salud que le quede.
- Se ha añadido una pantalla de tutorial después de la cinemática del nivel 1.
- Ahora, el color de la salud de la puerta variará según su porcentaje.
- Ahora se puede escuchar el sonido que hace Foxy cuando aparece cada X segundos sin necesidad de mirarlo, y (si usas auriculares estéreo) podrás saber en qué dirección se encuentra.
- Ya no es necesario recargar el nivel al cambiar el idioma.
- Se ha cambiado la animación de ocultación del clon de Mangle.
- Se ha reducido el movimiento de la cabeza en la cinemática del nivel 1.
- Se ha acortado la parte de los comandos en PC en la cinemática del nivel 1.
- El sistema de traducción del juego ha sido completamente cambiado, ahora es más optimizado y estable.
- Se ha corregido un error que causaba que algunas frases no se tradujeran correctamente.
- Se ha corregido un error que hacía que Foxy quedara atascado en uno de los pasillos después de terminar la animación de búsqueda.
- Se ha corregido un error que hacía que Foxy no iniciara la animación de búsqueda después de quedar atascado.
- Se han corregido errores ortográficos.
- Se han optimizado los modelos.
- Se han optimizado las animaciones.
- Se han optimizado los materiales.
- Se han optimizado los códigos.
- Se han eliminado archivos innecesarios."
"v0.2.2/Title",8421211746304,"v0.2.2","v0.2.2","v0.2.2","v0.2.2"
"v0.2.2/Desc",8480301101056,"- The game is now in BETA state.
- The project has been upgraded to URP for better quality and optimization.
- Optimized models.
- Optimized textures.
- Optimized sounds.
- Optimized scripts.
- Changed button layouts, now they have been distributed with the comfort of both PC and Android in mind.
- It is no longer necessary to use a keyboard to play.
- Rewritten some texts.
- Increased size of some texts.
- Now when opening the game for the first time it will use the PC language, in case the PC is in a language which is not translated by default it will be in English.
- Fixed bug that caused that, when selecting a language, there was a probability that it would not be saved correctly.
- Fixed bug that caused Foxy to stay in a loop when searching.
- Textures adjusted to quality levels and performance on low-end mobile.
- Better compression and detail of models and textures.
- Removed certain settings within the settings menu, since they are unnecessary on Android.",,,"- El juego ahora está en estado BETA.
- El proyecto se ha actualizado a URP para mejorar la calidad y optimización.
- Se han optimizado los modelos.
- Se han optimizado las texturas.
- Se han optimizado los sonidos.
- Se han optimizado los scripts.
- Se han cambiado los diseños de los botones, ahora se han distribuido pensando en la comodidad tanto de PC como de Android.
- Ya no es necesario usar un teclado para jugar.
- Se han reescrito algunos textos.
- Se ha aumentado el tamaño de algunos textos.
- Ahora, al abrir el juego por primera vez, utilizará el idioma del PC; en caso de que el PC esté en un idioma que no esté traducido por defecto, se mostrará en inglés.
- Se ha corregido un error que provocaba que, al seleccionar un idioma, existiera una probabilidad de que no se guardara correctamente.
- Se ha corregido un error que hacía que Foxy quedara en un bucle al buscar.
- Se han ajustado las texturas para diferentes niveles de calidad y rendimiento en dispositivos móviles de gama baja.
- Mejor compresión y detalle de modelos y texturas.
- Se han eliminado ciertas opciones dentro del menú de configuración, ya que no son necesarias en Android."
