Key,Id,English(en),Portuguese(pt),Russian(ru),Spanish(es)
finalTrailer_1,102724120576,"Hello, David. I know you've had a tough day today, but I need to ask you a favor.","Olá, David. Eu sei que você teve um dia difícil hoje, mas preciso te pedir um favor.","Привет, Девид, я знаю что у тебя был сложный день сегодня, но мне нужна твоя услуга.","Hola David, sé que hoy has tenido un día difícil, pero te tengo que pedir un favor."
finalTrailer_2,583777234944,"We've received new parts from a company called ""Fazbear Entertainment"".","Recebemos peças novas de uma empresa chamada ""Fazbear Entertainment"".","Мы получили новые детали от компании ""Fazbear Entertainment"".","Nos han llegado piezas nuevas de una tal empresa ""Fazbear Entreteiment""."
finalTrailer_3,694074847232,"You know, the one involved in legal matters, the legend about the guy who murdered some children at the old restaurant, and recently the horror attraction that caught fire.","Você sabe, aquela envolvida em questões legais, a lenda sobre o cara que assassinou algumas crianças no antigo restaurante e, recentemente, a atração de horror que pegou fogo.","Ты знаешь, того, кто связан с юридическими вопросами, легенду о парне, который убил несколько детей в старом ресторане, и недавно ужасную аттракцию, которая вспыхнула.","Si esa empresa que está implicada en asuntos legales, ya sabes la leyenda, esa del tío que asesino a unos niños en el antiguo restaurante y que hace poco se incendió la atracción de terror esa."
finalTrailer_4,745245356032,"Well, I'm calling to let you know that we've been hired to temporarily store the few pieces that have been recovered from the fire.","Bem, estou ligando para informar que fomos contratados para armazenar temporariamente as poucas peças que foram recuperadas do incêndio.","Хорошо, звоню, чтобы предупредить, что нас временно наняли для охраны нескольких деталей, которые были восстановлены после пожара.","Bueno, llamaba para avisarte de que nos han contratado para guardar temporalmente las pocas piezas que han sido recuperadas del incendio."
finalTrailer_5,26579293286400,"Don't worry, they'll only be here until tomorrow morning, so I ask you to keep them in perfect condition.","Não se preocupe, elas só ficarão aqui até amanhã de manhã, então peço que as mantenha em perfeitas condições.","Не волнуйтесь, они пробудут здесь только до завтрашнего утра, поэтому я советую сохранять их в первозданном состоянии.","Tranquilo, solo estarán hasta mañana por la mañana, así que te pido que las mantengas en perfecto estado."
finalTrailer_6,26590068453376,"We've been paid a good amount of money, and I don't want to miss this opportunity.","Recebemos uma boa quantia em dinheiro, e não quero perder essa oportunidade.","Они заплатят нам много денег, и я не хочу упустить эту возможность.",Nos han pagado una buena suma de dinero y no quiero perder esta oportunidad.
finalTrailer_7,26601342742528,Nor do I want to face a lawsuit...,Nem quero enfrentar um processo...,"Нет, я не буду представляться пере судом...",Ni tampoco ganarme una demanda…
finalTrailer_8,26612050800640,"Well, I won't bother you any longer. Just be careful.","Bem, não vou mais te incomodar. Apenas tenha cuidado.","Хорошо, не буду беспокоить тебя дольше. Будь осторожен.","Bueno, no te molesto más, simplemente ten cuidado."
finalTrailer_9,26625770369024,"We had to turn off the main generator because, as per protocol, we can't leave it running unattended during a storm.","Precisamos desligar o gerador principal por causa do protocolo, não podemos deixá-lo funcionando sem supervisão durante uma tempestade.","Нам пришлось отключить главный генератор, потому что, согласно протоколу, мы не можем оставлять его включенным без присмотра во время шторма.","Hemos tenido que apagar el generado principal, ya que por protocolo no podemos dejarlo encendido sin vigilancia habiendo tormenta."
finalTrailer_10,26639129227264,"So, remember to activate it and follow the standard procedure.","Então, lembre-se de ativá-lo e seguir com o procedimento padrão.",Так что не забудь активировать его и следовать стандартным процедурам.,Así que acuérdate de activarlo y hacer el procedimiento estándar.
finalTrailer_11,26650873278464,Take care!,Tenha Cuidado,заботься!,¡Que vaya bien!
