Key,Id,English(en),Portuguese(pt),Russian(ru),Spanish(es)
"FinalMsg",32051466731520,"<size=50>Thanks for playing!</size>


We ask you to share the game so that more people can try it.

This is just part of the game, we plan a total of 6 levels, each one with a different mechanic and each one more difficult, more cinematics and different endings.

We hope you enjoyed it. Any bugs, ideas or changes tell us in our official Discord, in which we will also publish new images and news about the development. The invite link is in the credits.","<size=50>Obrigado por jogar!</size>


Pedimos que você compartilhe o jogo para que mais pessoas possam experimentá-lo.

Isto é apenas parte do jogo, planeamos um total de 6 níveis, cada um com uma mecânica diferente e mais difíceis, mais cinemáticas e finais diferentes.

Nós esperamos que você tenha gostado. Qualquer bug, ideia ou mudança nos avise em nosso Discord oficial, no qual também publicaremos novas imagens e novidades sobre o desenvolvimento. O link do convite está nos créditos.","<size=50>Спасибо за игру!</size>


Мы просим вас поделиться игрой,чтобы как можно больше людей попробовали ее.

Это просто часть игры,мы планируем 6 уровней,каждый со своей механикой,и каждый сложнее и каждый со своей анимированной и разной концовкой.

Мы надеемся вы получили наслаждение от прохождения.багами,идеями или изменениями вы можете поделиться в нашем официальном дискорде,в котором мы будем публиковать новый изображения и новости о разработке игры.ссылка-приглашение есть в кредитах.","<size=50>¡Gracias por jugar!</size>


Te pedimos que compartas el juego para que más gente pueda probarlo.

Esto es solo una parte del juego, tenemos pensado un total de 6 niveles, cada uno con una mecánica diferente y cada cual más difícil, más cinemáticas y diferentes finales.

Esperamos que lo hayas disfrutado. Cualquier error, idea o cambio coméntanoslo en nuestro Discord oficial, en él también publicaremos nuevas imágenes y noticias sobre el desarrollo. El enlace de invitación está en los créditos."
"Apply",2786822062080,"Apply","Aplicar","Применить","Aplicar"
"Back",2947572957184,"Back","Voltar","Назад","Atrás"
"Continue",492365807616,"Continue","Continuar","Продолжить","Continuar"
"Credits",3027294093312,"Credits","créditos","Кредиты","Créditos"
"Exit",1080507891712,"Exit","Sair","Выход","Salir"
"Extras",862068539392,"Extras","Extras","Экстра","Extras"
"Levels",691356172288,"Levels","Níveis","Уровни","Niveles"
"NewGame",383758499840,"New Game","Novo Jogo","Новая Игра","Nueva Partida"
"No",2843218673664,"No","Não","Нет","No"
"Report",983191650304,"Report Bug","Reportar Bug","Сообщить О Баге","Reportar Error"
"Restart",1160149336064,"Restart","Reiniciar","Заного","Reiniciar"
"Settings",936899117056,"Settings","Configurações","Настройки","Ajustes"
"Yes",2919227850752,"Yes","Sim","Да","Si"
"Charge",41325383254016,"Charge","Recarregue","Зарядить","Cargar"
